STT,Tên bài hát,Tác giả,Thể loại
3239,Đêm hôm đó,Bằng Giang,Bolero
3240,Khúc mưa buồn,Trúc Hồ,"Bolero, ĐQ Asia"
3241,Noel Đêm Hồng Phúc,Thế Thông,Nhạc thánh ca|Thế Thông
3242,Hãy ôm em đi,Vinh Sử,Bolero
3243,Niềm vui không trọn vẹn,Lam Phương,Lam Phương|Bolero
3244,Có nhớ đêm nào,Khánh Băng,"Bolero, ĐQ Asia"
3245,Xuân trên quê hương,Huỳnh Thanh Hiền,Trữ Tình
3246,Thẹn thùng,Tô Thanh Sơn,Bolero
3247,Đánh cờ người,Anh Bằng,Bolero
3248,Ngày Có Cầu Vồng,Dương Khắc Linh,"Pop, Ballad"
3249,Buồn giăng lối đêm,Khúc Lan,Nhạc ngoại lời Việt
3250,Lỗi Của Mưa,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
3251,Thiên đường không xa,Thanh Tùng,Nhạc trữ tình|Thanh Tùng|Hoàng Tuấn
3252,Rồi Mình Cũng Xa Lạ,Vũ Xuân Hùng,Nhạc ngoại|Vũ Xuân Hùng|Lời Việt
3253,Huế Trong Tôi,Phạm Tôn Tẫn  - Lê Xuân Thơm,Nhạc Trữ tình quê hương
3254,Cay đắng tình tôi,Vũ Tuấn,Bolero|Vũ Tuấn
3255,Trả Lại Đời Nhau,Vũ Xuân Hùng,Lời Việt|Nhạc ngoại|Vũ Xuân Hùng
3256,Tóc gió thôi bay,Trần Tiến,"Bolero, ĐQ Asia"
3257,Thiếu Một Tình Yêu,Dương Khắc Linh,"Pop, Ballad"
3258,Ly cà phê kỷ niệm,Viên Nghiệp,Bolero|Viên Nghiệp
3259,Có em về,Vinh Sử,Bolero
3260,Ăn cơm cho thật ngoan,Nguyễn Văn Chung,Nhạc thiếu nhi
3261,Trái Sầu Đầy,Trần Trịnh,Bolero
3262,Mùa thu nhớ ai,Khúc Lan,Nhạc ngoại lời Việt
3263,Xích lại gần nhau,Vinh Sử,Bolero
3264,Bắt Cá Không Anh,Đỗ Hiếu,Nhạc trẻ
3265,Xuân và tuổi trẻ,La Hối,"Bolero, ĐQ Asia"
3266,Lễ dâng giáng sinh,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
3267,Tiểu cô nương,Lê Đức Long|Nguyễn Nam An,Nhạc trữ tình|Nguyễn Nam An|Lê Đức Long
3268,Nụ hôn bên anh,Khúc Lan,Nhạc ngoại lời Việt
3269,Mất tim,Anh Bằng,Bolero
3270,Tình tôi mới lớn,Trần Quảng Nam,Nhạc trữ tình
3271,Để Mị Ăn Tết,Bùi Công Nam,Nhạc trẻ
3272,Phút Giây Bên Nhau,Dương Khắc Linh,"Pop, Ballad"
3273,Sinh mệnh,Nhật Hoàng,Pop
3274,Đừng Để Anh Đánh Rơi Em Này,Max Vol,Nhạc trẻ
3275,Ngày nào đó,Bằng Giang,Bolero
3276,Giai Điệu Hạnh Phúc,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
3277,Có một ngày,Anh Bằng,Bolero
3278,Tình Ghen,Vũ Xuân Hùng,Lời Việt|Vũ Xuân Hùng|Nhạc ngoại
3279,Cánh phượng hồng thuở xưa,Anh Bằng,Bolero
3280,Bài hát sau cùng,Vinh Sử,Bolero
3281,Ngài Bảo Gì Con Hãy Làm Theo,Thế Thông,Thế Thông|Nhạc thánh ca
3282,Qua Đêm Nay,Minh Thùy|Nguyễn Quốc Cường,Nhạc trẻ
3283,Mộng nhỏ ngày xưa,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
3284,Ngẩn ngơ sầu,Giao Tiên,Bolero
3285,Peaceful Morning,Mr Chill,Lofi 
3286,Cô Tấm Ngày Nay (Tâm Sắc Tấm OST),Bùi Công Nam,Nhạc trẻ
3287,Nửa ổ bánh mì thừa,Nguyễn Văn Chung,Nhạc thiếu nhi
3288,Bài ca giã từ,Khúc Lan,Nhạc ngoại lời Việt
3289,Nỗi niềm xa quê,Nguyễn Ngọc Thịnh,Nhạc trữ tình
3290,Tình bể dâu,Hoàng Phương,Bolero
3291,Nỗi lòng cô Thắm,Giao Tiên,Bolero
3292,Tình làng quê,An Thuyên,Dân ca
3293,Trắng,Trần Quảng Nam,Nhạc trữ tình
3294,Anh khí tượng,Vinh Sử,Bolero
3295,Còn có bao giờ em nhớ ta,Anh Bằng,Bolero
3296,Trả Lại Em,Giao Tiên,Nhạc trữ tình
3297,Hữu Duyên Vô Phận,Hoàng Lan,Ballad|Hoàng Lan|pop
3298,Mất,Lam Phương,Bolero|Lam Phương
3299,Hiến dâng trong mưa,Khúc Lan,Nhạc ngoại lời Việt
3300,Mang kiếp cầm ca,Vũ Tuấn,Bolero|Vũ Tuấn
3301,Tình ơi có hay,Khúc Lan,Nhạc ngoại lời Việt
3302,Hạnh phúc nhỏ nhoi,Khúc Lan,Nhạc ngoại lời Việt
3303,Chuyến phà kỷ niệm,Vũ Phương,Vũ Phương|Bolero
3304,Qua Cầu Rút Ván,Lương Gia Hùng,Pop
3305,Tình khúc mộng cầm,Nhật Thu,Nhật Thu|Nhạc trữ tình
3306,Người Đã Yêu Ai,Đông Thiên Đức,pop|Ballad|Đông Thiên Đức
3307,Yêu Tồn Tại,Trần Đăng Quang,Nhạc trẻ|Trần Đăng Quang
3308,Khi yêu em sẽ hiểu,Nhật Hoàng,Nhật Hoàng|Nhạc trẻ
3309,Mừng anh chiến sĩ,Duy Khánh,Duy Khánh|Bolero
3310,Làng Chăm quê em,Tú Nhi,Tú Nhi|Bolero
3311,Toả Sáng Việt Nam,Bùi Công Nam,Nhạc trẻ
3312,Liệu Những Giấc Mơ,Nam Đức,Nam Duc|Nhạc trẻ
3313,Anh nhớ về thăm em,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
3314,Một Đoạn Đường Một Tình Yêu,Nguyễn Quốc Cường,Nhạc trẻ
3315,Bóng Tối Và Ánh Sáng,Giác An,Giác An|Phật giáo
3316,Người lính không quân trang,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
3317,Không Cần Thiết,Lâm Temboys,Nhạc trẻ
3318,Lễ Dâng Tình Hồng,Thế Thông,Nhạc thánh ca|Thế Thông
3319,Cưới Liền Đi Em,Hồ Minh Tài,Dân ca
3320,Nàng tiên của anh,Lam Phương,Lam Phương|Bolero
3321,Anh Không Muốn Quên,Đông Thiên Đức,Ballad|Đông Thiên Đức|pop
3322,Một thời hoa mộng,Lam Phương,Lam Phương|Bolero
3323,Bãi nắng,Lam Phương,Bolero|Lam Phương
3324,Mấy Khi Mà Sướng Thế Này,Bùi Công Nam,Nhạc trẻ
3325,Đoạn cuối tình yêu,Tú Nhi,Tú Nhi|Bolero
3326,Dù biết thế,Tuấn Hải,Bolero
3327,Giấc Mơ Tuyệt Vời,Bảo Chấn,Nhạc nhẹ|Bảo Chấn
3328,Từ Hôm Nay,RonOST,Pop
3329,Tình yêu có khi,Mai Anh Việt,"Bolero, ĐQ Asia"
3330,Em bé vớt lon bia,Đăng Minh,Ca cổ
3331,Vì Sao Anh Cố Giấu,Dương Khắc Linh,"Pop, Ballad"
3332,Cứ Đi Rồi Sẽ Đến,Dương Khắc Linh,"Pop, Ballad"
3333,Niềm đau giã từ,Khúc Lan,Nhạc ngoại lời Việt
3334,Buồn hãy đi di,Trúc Giang|Trúc Sinh,Trúc Sinh|Nhạc trữ tình|Trúc Giang
3335,Ly rượu đắng cay,Tú Nhi,Bolero|Tú Nhi
3336,Để vừa lòng anh,Vinh Sử,Bolero
3337,Em Không Cần Anh Đâu,Dương Khắc Linh,"Pop, Ballad"
3338,Cảm Ơn Người Yêu Cũ,Đông Thiên Đức,Ballad|Đông Thiên Đức|pop
3339,Mùa thu đã qua,Lê Quang,Lê Quang|Nhạc trữ tình|Hoàng Tuấn
3340,Vì Sao Em Lại Yêu Anh,Lý Bông Dừa,Ca cổ
3341,Khi mùa xuân trở lại,Khúc Lan,Nhạc ngoại lời Việt
3342,Viết dành cho anh,Ngọc Liên,Nhạc trữ tình
3343,Con Cò Con Cá,Lam Phương,Lam Phương|Bolero
3344,Chơi năm mười,Vinh Sử,Bolero
3345,Một Đóa Bâng Khuâng Màu E Ấp,Trần Trịnh,Bolero
3346,Tình Khúc Dâng Hoa,Thế Thông,Nhạc thánh ca|Thế Thông
3347,Tiếng Yêu Dĩ Vãng,Johnny Dũng,Nhạc trữ tình
3348,Tình khóc,Hoàng Phương,Bolero
3349,Mùa Thu Tôi Thích,Lộn Xộn Band,Nhạc trẻ|Lộn Xộn Band
3350,Chưa Quên Được,Bùi Công Nam,Nhạc trẻ
3351,Tình hè,Lam Phương,Lam Phương|Bolero
3352,Giống Anh Nhưng Không Phải Là Anh,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
3353,Tình yêu xa vời,Nguyễn Ngọc Thiện,Nhạc trữ tình|Hoàng Tuấn|Nguyễn Ngọc Thiện
3354,Không có em chiều nay,Trúc Sinh|Lê Đức Long,Lê Đức Long|Trúc Sinh|Nhạc trữ tình
3355,Chờ Anh Em Nhé,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
3356,Anh Đau Từ Lúc Em Đi,Trần Mạnh Cường,Pop
3357,Đành Quên Dĩ Vãng (Xóa Nhòa Dĩ Vãng),Nguyễn Quốc Cường,Nhạc trẻ
3358,Người Thứ Ba,Lý Bông Dừa,Ca cổ
3359,Bóng nắng,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
3360,Ru Cha,Phạm Tôn Tẫn,Nhạc Thánh Ca
3361,Ba Làng 60 năm Hồng Ân,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
3362,Trở Lại,Đông Thiên Đức,Đông Thiên Đức|Ballad|pop
3363,Tình phụ,Chế Phi,Nhạc trữ tình
3364,Hãy Cho Em Gần Anh,Dương Khắc Linh,"Pop, Ballad"
3365,Vĩnh biệt em,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
3366,Xin Cho Anh Được Yêu,Đỗ Hiếu,Nhạc trẻ
3367,Con Tìm Và Gặp Phật,Thích Nhật Từ,Nhạc phật giáo
3368,Con Đông Chưa Chắc Được Nhờ,Hồ Minh Tài,Dân ca
3369,Ngàn Mắt Ngàn Tay,Giác An,Phật giáo|Giác An
3370,Bố ơi mình đi đâu thế,Nguyễn Văn Chung,Nhạc thiếu nhi
3371,Đợi nắng,Lam Phương,Bolero|Lam Phương
3372,Giáng Sinh Yêu Thương,Phạm Tôn Tẫn,Nhạc Giáng Sinh
3373,Vì còn yêu,Hùng Linh,Bolero
3374,Mệt Rồi Thì Thôi,Đông Thiên Đức,Ballad|pop|Đông Thiên Đức
3375,Ngày mình thôi yêu nhau,Trịnh Lâm Ngân,Bolero
3376,Những ngày hoa mộng,Khúc Lan,Nhạc ngoại lời Việt
3377,Thân nghèo nào dám trách ai,Vũ Tuấn,Bolero|Vũ Tuấn
3378,Tình yêu cách trở,Tú Nhi,Tú Nhi|Bolero
3379,Tự bảo vệ chính mình,Nguyễn Văn Chung,Nhạc thiếu nhi
3380,Ngày đó xa rồi,Tú Nhi,Tú Nhi|Bolero
3381,Chờ Ngày Nắng Lên,Đông Thiên Đức,Đông Thiên Đức|pop|Ballad
3382,Hạnh Phúc Mãi Mãi,Dương Khắc Linh,"Pop, Ballad"
3383,Từ ngày có em,Nguyễn Ngọc Thiện,Hoàng Tuấn|Nguyễn Ngọc Thiện|Nhạc trữ tình
3384,Vâng Nghe Thánh Thần 2,Thế Thông,Nhạc thánh ca|Thế Thông
3385,Cha yêu,Quốc Vượng,"Bolero, ĐQ Asia"
3386,Phố Mùa Đông,Bảo Chấn,Nhạc nhẹ|Bảo Chấn
3387,Đời Ca Sĩ,Dương Khắc Linh,"Pop, Ballad"
3388,Dáng xuân xưa,Nguyễn Văn Đông,Trữ tình
3389,Tình Hờ,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
3390,Đường Về Quê,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
3391,Tiếng Gọi Tình Yêu,Thế Thông,Thế Thông|Nhạc thánh ca
3392,Sau không giờ,Vinh Sử,Bolero
3393,Không Tán Tỉnh Em Đâu,TaynguyenSound,TaynguyenSound|Nhạc trẻ
3394,Hãy trả lời em đi anh,Trần Thiện Thanh|Nhật Bằng,Trần Thiện Thanh|Nhật Bằng|Bolero
3395,Thiên đường đã mất,Lê Quang,Lê Quang|Hoàng Tuấn|Nhạc trữ tình
3396,Dạo Này Bọn Anh Đang Rất Buồn,Lộn Xộn Band,Lộn Xộn Band|Nhạc trẻ
3397,Bạc Tình Khúc,Vũ Xuân Hùng,Vũ Xuân Hùng|Nhạc ngoại|Lời Việt
3398,Song buồn khép kín mắt người yêu,Hà Phương,Bolero
3399,Một Chữ Duyên Chưa Đủ,Nguyễn Quốc Cường|Nhạc Hoa,Nhạc trẻ
3400,Duyên lỡ bến chờ,Phong Lê,Nhạc trẻ|Phong Lê
3401,Xuân Trong Ánh Đạo,Giác An,Phật giáo|Giác An
3402,Đêm Vàng,Trần Trịnh,Bolero
3403,Tình vỗ cánh ngàn,Khúc Lan,Nhạc ngoại lời Việt
3404,Bông Đùa,Chuy Blue,Chuy Blue
3405,Xuân này con vẫn chưa về,Phan Phúc Thao,Dân ca
3406,Follow The Sun,Mr Chill,Lofi 
3407,Nàng BURAM,Vinh Sử,Bolero
3408,Em vẫn mơ,Vũ Tuấn Đức,Vũ Tuấn Đức|Nhạc trữ tình
3409,Sau Ngày Mưa,Trần Đăng Quang,Nhạc trẻ|Trần Đăng Quang
3410,Chào Năm Mới Sang,Nguyễn Quốc Cường,Nhạc trẻ
3411,Lấy Chi Đáp Đền,Thế Thông,Thế Thông|Nhạc thánh ca
3412,Hỏi nàng bán chiếu Gon,Vinh Sử,Bolero
3413,Giữa hai mùa mưa nắng,Trúc Hồ,Trúc Hồ|Nhạc trữ tình
3414,Đi Qua Mùa Đông,Nguyễn Quốc Cường,Nhạc trẻ
3415,Lỡ làng,Phạm Khải Tuấn,Nhạc trữ tình|Phạm Khải Tuấn
3416,Quên,Lam Phương,Lam Phương|Bolero
3417,Cái Ghe Màu Hồng,Nguyễn Hữu Trí,Pop
3418,Nếu Thời Gian Trở Lại,Dương Khắc Linh,"Pop, Ballad"
3419,Một Ngày Mùa Đông,Bảo Chấn,Bảo Chấn|Nhạc nhẹ
3420,Khoan Cho Anh Ngủ,Lộn Xộn Band,Lộn Xộn Band|Nhạc trẻ
3421,Cánh thư xuân,Khúc Lan,Nhạc ngoại lời Việt
3422,Thư Em,Đỗ Kim Bảng,Nhạc vàng
3423,Ở Đâu Có Điểm Tựa Ở Đó Có Tết,Bùi Công Nam,Nhạc trẻ
3424,Hoài thương,Vũ Phương,Vũ Phương|Bolero
3425,Xuân Bốn Ngàn Năm Văn Hiến,Giao Tiên,Nhạc trữ tình
3426,Ngài Phải Lớn Lên (hợp xướng),Thế Thông,Thế Thông|Nhạc thánh ca
3427,Liên Minh Chống Covid,H2K,H2K|Nhạc trẻ
3428,Không còn ai yêu anh như em đã yêu anh,Vũ Tuấn Đức,Nhạc trữ tình|Vũ Tuấn Đức
3429,Cảm Ơn Thanh Xuân,Reddy,Nhạc trẻ
3430,Hoàng Thành,Tạ Hà,Nhạc trẻ
3431,Noel Đầu Tiên,Vĩnh Phúc,Nhạc thánh ca
3432,Về Chung Một Lối,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
3433,Cám ơn Phật,Anh Bằng,Bolero
3434,Thương con,Lam Phương,Lam Phương|Bolero
3435,Buồn xa nhà,Anh Bằng,Bolero
3436,Yêu Thương Phai Nhòa,Đỗ Hiếu,Nhạc trẻ
3437,Vầng trăng,Vinh Sử,Bolero
3438,Theo chồng,Giao Tiên,Bolero
3439,Em phải nàng xuân,Vinh Sử,Bolero
3440,Xin Mãi Bên Con,Thế Thông,Thế Thông|Nhạc thánh ca
3441,Khúc Tình Ca,RonOST,"J-pop, ballad"
3442,Sống Lời Chúa,Thế Thông,Thế Thông|Nhạc thánh ca
3443,Tình Cay Đắng,Johnny Dũng,Nhạc trữ tình
3444,Nói cùng Tô Thị,Ngô Sỹ Ngọc,Nhạc trữ tình
3445,Thân Nhất Trên Đời,Vĩnh Phúc,Nhạc thánh ca
3446,Feel Gud,Mai Phuong,Pop
3447,Lời Dạy Của Cha,Huệ Đức|Giác An,Huệ Đức|Phật giáo|Giác An
3448,Rạng Ngời Vẻ Đẹp Không Tuổi,Bùi Công Nam,Nhạc trẻ
3449,Sao em không nhìn anh,Thùy Linh,Trữ tình
3450,Trái cấm,Anh Bằng,Bolero
3451,Cố Chấp Yêu,Nguyễn Quốc Cường|Nhạc Hoa,Nhạc trẻ
3452,Tết ơi là Tết,Nguyễn Văn Chung,Nhạc thiếu nhi
3453,Khỏi Phải Makeup,Bùi Công Nam,Nhạc trẻ
3454,Cơn mưa chiều chia tay,Lê Quang,Nhạc trữ tình|Lê Quang|Hoàng Tuấn
3455,Trái tim trinh nữ,Vinh Sử,Bolero
3456,Ngày em đi lấy chồng,Vũ Tuấn Đức,Vũ Tuấn Đức|Nhạc trữ tình
3457,Đỉnh Trời Xót Thương,Thế Thông,Thế Thông|Nhạc thánh ca
3458,Tiếng anh đâu có khó,Nguyễn Văn Chung,Nhạc thiếu nhi
3459,Bé học hình dạng,Nguyễn Văn Chung,Nhạc thiếu nhi
3460,Chúa Là Sức Mạnh,Thế Thông,Nhạc thánh ca|Thế Thông
3461,Thần tượng,Anh Bằng,Bolero
3462,I Need To Know,Johnny Dũng,Nhạc trữ tình
3463,Khóc Vì Em,Trần Nghiệp Hoàng,Trần Nghiệp Hoàng|Bolero
3464,Tinh yeu dau chim,Anh Bằng,Bolero
3465,Về với mẹ,Vũ Phương,Vũ Phương|Bolero
3466,Cô Thắm gặp tình nhân,Giao Tiên,Bolero
3467,Em về miền quê xa,Hà Phương,Bolero
3468,Nơi Con Tim Bình Yên,Dương Khắc Linh,"Pop, Ballad"
3469,Sương Phủ Đường Khuya (Sương đêm ),Đỗ Kim Bảng,Nhạc vàng
3470,Dấn Thân Vào Nước Mắt,Hamlet Trương,Pop
3471,Ba Claims The Painting,Dương Khắc Linh,"Pop, Ballad"
3472,Refuge In The Village,Dương Khắc Linh,"Pop, Ballad"
3473,Ngập ngừng,Anh Bằng,Bolero
3474,Vườn Hoa Của Bé,Tú Anh,Thiếu Nhi
3475,Để gió cuốn đi cuộc tình,Vũ Tuấn Đức,Nhạc trữ tình|Vũ Tuấn Đức
3476,Khúc tình xuân,Lê Quốc Dũng,Hoàng Tuấn|Lê Quốc Dũng|Nhạc trữ tình
3477,Ngày Mưa Năm Ấy,Lê Hiền Đức,Nhạc trẻ
3478,Lời hai mươi,Ngọc Sơn,Ngọc Sơn|Bolero
3479,Ngày Này Năm Trước,Đông Thiên Đức,pop|Ballad|Đông Thiên Đức
3480,Niềm thương trở giấc,Hàn Châu,Bolero|Hàn Châu
3481,Người về Em - mau,Sr. Hiền Hòa,Nhạc thánh ca|Sr. Hiền Hòa
3482,Hạnh Phúc Trong Em,Dương Khắc Linh,"Pop, Ballad"
3483,Sầu ly hương,Lam Phương,Lam Phương|Bolero
3484,Về đâu cánh chim biển,Vinh Sử,Bolero
3485,Con Chuột Đồng,Đông Phương Tường,Bolero
3486,Kể chuyện đêm vô cùng,Anh Bằng,Bolero
3487,Ta mất nhau rồi,Nguyễn Duy Tùng,Nhạc Hoa
3488,Đông Mang,Phúc Chinh,"Pop, Ballad"
3489,Tính Chuyện Mai Sau,Hồng Quân WyTy,Pop
3490,Chuyến tàu về quê hương,Giao Tiên,Bolero
3491,Kể chuyện đêm vô cùng,Anh Bằng,Bolero
3492,Em vẫn sầu (Anh vẫn sầu),Khúc Lan,Nhạc ngoại lời Việt
3493,Điên Tình,Đông Phương Tường,Bolero
3494,Ready Eat Go,Dương Khắc Linh,"Pop, Ballad"
3495,Tiểu Khúc,Diệp Vàm Cỏ,Ca cổ
3496,Lỡ chuyến đò chiều,Vũ Phương,Vũ Phương|Bolero
3497,Chết Một Tình Yêu,Vũ Tuấn Đức,Nhạc trữ tình|Vũ Tuấn Đức
3498,Tiễn người sang ngang,Anh Bằng,Bolero
3499,Đi Tìm Hạnh Phúc,Vĩnh Phúc,Nhạc thánh ca
3500,Lỡ một cuộc tình số 5,Anh Bằng,Bolero
3501,Lời tự tình mùa xuân,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
3502,Đến Nơi Chỉ Riêng Ta,Đỗ Hiếu,Nhạc trẻ
3503,Trong Buồn Có Vui,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
3504,Mỉm Cười Cho Qua,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
3505,Tự Tại,Lâm Triệu Minh,Lâm Triệu Minh
3506,Tủi Thân Bật Khóc,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
3507,Hương tóc,Phan Ni Tấn,Nhạc trữ tình
3508,Tiếng gọi yêu thương,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
3509,Con Đi Nhé,Bùi Công Nam,Nhạc trẻ
3510,Vĩnh Long Đất Lịch Người Xinh,Hà Chương,Hà Chương|Dân ca
3511,Về Hải Dương quê anh,Ngô Sỹ Ngọc,Nhạc trữ tình
3512,Nhớ mẹ,Anh Bằng,Bolero
3513,Di chúc tình yêu,Vinh Sử,Bolero
3514,Heo con ủn ỉn,Dami,Nhạc thiếu nhi|Dami
3515,Gói mì tôm,Tú Anh,Nhạc thiếu nhi|Tú Anh
3516,Những đêm không ngủ,Anh Bằng,Bolero
3517,Muốn Nói Lời Yêu Em,Lê Hùng Phúc,Pop
3518,Em còn bé lắm,Quốc Anh,Bolero
3519,Anh đi chăn Heo,Đông Phương Tường,Nhạc thiếu nhi
3520,Getting Out Of A Deal,Dương Khắc Linh,"Pop, Ballad"
3521,Nếu lúc trước anh và em cùng hiểu,Nguyễn Lê Việt Hùng,Nguyễn Lê Việt Hùng|Nhạc trẻ
3522,Ngài Cứu Tôi,Vĩnh Phúc,Nhạc thánh ca
3523,Mùa Thương Tay Đợi Mắt Chờ,Đỗ Kim Bảng,Nhạc vàng
3524,Trên Những Chuyến Xe Qua,Lộn Xộn Band,Nhạc trẻ|Lộn Xộn Band
3525,Cổng trường vôi tím,Anh Bằng,Bolero
3526,Mai kia hòa bình,Giao Tiên,Bolero
3527,Vu Quy,BÌN,Pop
3528,Ba ơi đừng uống rượu,Đông Phương Tường,Nhạc thiếu nhi
3529,Gu Em Là Nam Á,Bùi Công Nam,Nhạc trẻ
3530,Ông đồ,Anh Bằng,Bolero
3531,Trong tầm mắt đời,Tú Nhi,Tú Nhi|Bolero
3532,Yêu quý và biết ơn,Nguyễn Văn Chung,Nhạc thiếu nhi
3533,Ánh Nến Hình Trái Tim,Đông Thiên Đức,Đông Thiên Đức|Ballad|pop
3534,Người Bạn Tôi Yêu Mến,Vĩnh Phúc,Nhạc thánh ca
3535,Tay trắng tay đen,Vinh Sử,Bolero
3536,Lời đáp tình yêu,Vinh Sử,Bolero
3537,Tình buồn tuổi trẻ,Giao Tiên,Bolero
3538,Trăng cài nhớ bước chinh nhân,Bằng Giang,Bolero
3539,Người yêu ơi tình yêu ơi,Vũ Tuấn Đức,Nhạc trữ tình|Vũ Tuấn Đức
3540,Người Đó,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
3541,Mắt em,Anh Bằng|Trúc Sinh,Trúc Sinh|Anh Bằng|Nhạc trữ tình
3542,Nỗi buồn của mẹ,Nhật Thu,Nhạc trữ tình|Nhật Thu
3543,Mạn Họa,TaynguyenSound,Nhạc trẻ|TaynguyenSound
3544,Lễ Dâng Chúa Hài Nhi,Thế Thông,Nhạc thánh ca|Thế Thông
3545,Mong Ước,Vĩnh Phúc,Nhạc thiếu nhi
3546,Sapa Tình Buồn,Ngô Huỳnh,Ngô Huỳnh|Bolero
3547,Em vui trung thu,Dami,Dami|Nhạc thiếu nhi
3548,Hạnh Nguyện Phật Ngọc,Giác An,Phật giáo|Giác An
3549,Ngài Yêu Đến Cùng,Thế Thông,Nhạc thánh ca|Thế Thông
3550,Thiên ý,Giao Tiên|Hương Vũ,Nhạc trữ tình
3551,Nguyên Nhân Vì Sao,Nguyễn Quốc Cường,Nhạc trẻ
3552,tim em ko kó một đường nào,Winno|Heily,Rap
3553,Cứu Lấy Anh Đi,Đỗ Hiếu,Nhạc trẻ
3554,Em quên một lời hứa,Nguyễn Lê Việt Hùng,Nhạc trẻ|Nguyễn Lê Việt Hùng
3555,Tình trong bão tố,Khúc Lan,Nhạc ngoại lời Việt
3556,Đêm mưa tưởng nhớ,Bằng Giang,Bolero
3557,Lời Cuối Cho Tinh Đầu,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
3558,Áo trắng,Anh Bằng,Bolero
3559,Truông Mây,Nguyễn Văn Đông,Trữ tình
3560,Tự Khúc Kamado Tanjirou,RonOST,"J-Pop, Enka"
3561,Cõi mơ,Lê Quang,Lê Quang|Nhạc trữ tình|Hoàng Tuấn
3562,Xiêu Lòng,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
3563,Hương sắc cao nguyên,Ngô Sỹ Ngọc,Nhạc trữ tình
3564,Tình Yêu Xây Đắp Nhân Gian,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
3565,Lòng Mẹ Từ Nhân,Nguyên Minh,Thánh ca
3566,Bóng tối tình yêu,Trần Quảng Nam,Nhạc trữ tình
3567,Chẳng dám làm quen,Vinh Sử,Bolero
3568,Tuổi 17,Giao Tiên,Bolero
3569,Bé Ơi Hãy Nhớ Nhé,Tú Anh,Thiếu Nhi
3570,Đâu chỉ tại mùa đông,Phan Phúc Thao,Nhạc trữ tình
3571,Có một nhịp cầu,Giao Tiên,Bolero
3572,Bàn tay dĩ vãng,Trần Quảng Nam,Nhạc trữ tình
3573,Cậu cả lên thành,Vinh Sử,Bolero
3574,Hát cho tình xa,Lê Quang,Lê Quang|Nhạc trữ tình|Hoàng Tuấn
3575,Đã Quá Muộn Màng,Đỗ Hiếu,Nhạc trẻ
3576,Từng Là,MT Black,MT Black
3577,Vì Đã Tìm Thấy Em,Dương Khắc Linh,"Pop, Ballad"
3578,Hòa Khúc Tạ Ơn,Thế Thông,Thế Thông|Nhạc thánh ca
3579,Dâng Về Chúa,Thế Thông,Nhạc thánh ca|Thế Thông
3580,Người mẹ trồng rau,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
3581,Hoàng Hôn Tím,Đỗ Anh Tuấn,Nhạc Trữ Tình
3582,Sinh nhật bé,Đông Phương Tường,Nhạc thiếu nhi
3583,Mùa Gặt Dâng Tiến,Thế Thông,Nhạc thánh ca|Thế Thông
3584,Nghiệt Duyên,Đông Thiên Đức,pop|Đông Thiên Đức|Ballad
3585,Đôi dòng tâm sự,Minh Thùy,Ca cổ
3586,Chiều trên phố xưa,Nguyễn Huy Điền,Nhạc trữ tình|Nguyễn Huy Điền
3587,Chú bò con,Đông Phương Tường,Nhạc thiếu nhi
3588,Tơ lòng sau ánh hào quang,Huỳnh Thanh Hiền,Trữ Tình
3589,"Ở nhà có Mẹ, ở trường có Cô",Nguyễn Văn Chung,Nhạc thiếu nhi
3590,Noel Tình Người,Thế Thông,Thế Thông|Nhạc thánh ca
3591,Tôi và dĩ vãng,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
3592,Chiếc Xe Biết Nghe,Quang,"Rap, HipHop"
3593,Tết Thảo,BÌN,pop|BÌN
3594,Tặng nàng nhẫn bún,Vinh Sử,Bolero
3595,A Long Journey,Dương Khắc Linh,"Pop, Ballad"
